DP02408	1	272
DP02408	406	553
DP02409	186	213
DP02411	1	114
DP02411	222	231
DP02411	327	360
DP02411	694	748
DP02420	932	943
DP02420	1030	1039
DP02420	1065	1081
DP02420	1218	1238
DP02420	1336	1345
DP02428	108	120
DP02446	270	299
DP02449	150	167
DP02449	235	248
DP02449	256	347
DP02457	256	280
DP02458	49	58
DP02458	330	436
DP02463	390	411
DP02463	459	521
DP02463	712	849
DP02463	930	957
DP02463	1333	1365
DP02471	2	60
DP02471	220	398
DP02473	289	303
DP02475	1	200
DP02477	471	572
DP02477	882	1234
DP02479	11	58
DP02479	335	372
DP02479	696	706
DP02523	1	307
DP02523	441	485
DP02531	240	465
DP02533	550	593
DP02538	38	136
DP02543	1	119
DP02543	255	274
DP02545	1	62
DP02552	361	444
DP02555	364	404
DP02558	27	447
DP02561	83	141
DP02564	1	19
DP02567	1	23
DP02567	388	407
DP02567	511	546
DP02567	610	620
DP02567	830	847
DP02567	1010	1020
DP02567	1234	1243
DP02567	1640	1657
DP02567	1802	1814
DP02567	2729	2768
DP02571	173	183
DP02571	298	310
DP02585	69	98
DP02585	212	221
DP02585	253	263
DP02585	310	338
DP02585	561	575
DP02592	209	452
DP02594	1	14
DP02595	1	295
DP02598	1	25
DP02601	619	640
DP02601	693	732
DP02604	1063	1258
DP02605	295	331
DP02606	1	167
DP02606	350	381
DP02606	478	590
DP02607	557	628
DP02608	90	124
DP02609	150	204
DP02611	126	140
DP02612	1	13
DP02612	50	63
DP02614	76	106
DP02614	234	243
DP02615	1	28
DP02620	1	14
DP02620	497	572
DP02622	151	169
DP02622	189	200
DP02622	220	233
DP02622	241	252
DP02622	269	278
DP02627	201	214
DP02627	242	258
DP02628	1	15
DP02628	47	60
DP02630	371	399
DP02632	1	13
DP02632	59	81
DP02645	45	64
DP02647	69	79
DP02649	683	728
DP02651	301	326
DP02652	51	71
DP02654	379	392
DP02656	19	54
DP02656	224	240
DP02661	130	145
DP02665	420	429
DP02670	406	422
DP02673	1	18
DP02673	422	461
DP02674	69	92
DP02674	110	125
DP02675	294	310
DP02675	433	448
DP02676	107	121
DP02678	188	198
DP02680	21	31
DP02691	70	80
DP02691	578	589
DP02691	1257	1270
DP02691	1621	1830
DP02692	1	191
DP02692	1017	1610
DP02694	1	20
DP02697	1	23
DP02698	1	21
DP02699	1	47
DP02699	138	164
DP02702	386	395
DP02702	470	479
DP02704	184	259
DP02704	348	373
DP02706	188	200
DP02706	212	234
DP02709	861	888
DP02710	159	168
DP02712	189	528
DP02713	139	363
DP02714	103	128
DP02719	88	106
DP02724	34	44
DP02727	39	50
DP02728	51	110
DP02729	446	472
DP02735	2	33
DP02742	868	897
DP02744	978	992
DP02745	28	46
DP02746	1	82
DP02746	271	289
DP02747	47	56
DP02748	256	267
DP02753	117	134
DP02753	625	634
DP02753	645	660
DP02757	1	59
DP02757	206	215
DP02757	527	580
DP02758	198	215
DP02758	494	503
DP02759	1	156
DP02764	1	75
DP02770	106	119
DP02781	1003	1029
DP02783	232	255
DP02785	531	544
DP02785	648	677
DP02795	1	24
DP02795	59	76
DP02798	304	314
DP02803	128	139
DP02803	384	434
DP02812	147	157
DP02815	34	56
DP02816	364	380
DP02818	265	420
DP02818	589	627
DP02818	675	687
DP02818	795	1631
DP02822	315	380
DP02823	24	51
DP02824	132	142
DP02825	116	129
DP02829	395	1029
DP02829	1048	1123
DP02833	862	909
DP02834	262	276
DP02838	269	320
DP02840	272	295
DP02840	335	392
DP02849	1	41
DP02849	97	165
DP02850	266	452
DP02852	1	23
DP02852	179	188
DP02854	769	805
DP02855	456	492
DP02856	73	107
DP02856	176	185
DP02858	844	876
DP02860	289	334
DP02868	50	63
DP02869	13	80
DP02869	173	235
DP02869	481	519
DP02869	531	550
DP02875	81	93
DP02876	289	305
DP02881	621	676
DP02885	79	89
DP02894	322	335
DP02894	455	504
DP02904	25	245
DP02911	1	929
DP02913	1	130
DP02916	607	709
DP02921	231	258
DP02922	1	10
DP02922	33	57
DP02930	1	18
DP02953	1629	1638
DP02953	1680	1696
DP02954	1	1483
DP02954	1741	1768
DP02971	774	787
DP02975	150	159
DP02975	244	258
DP02975	293	321
DP02976	347	356
DP02976	394	404
DP02976	500	517
DP02976	632	652
DP02977	1494	1507
DP03004	1	65
DP03004	222	232
DP03004	240	255
DP03004	295	309
DP03006	1	22
DP03006	186	209
DP03010	112	133
DP03010	297	334
DP03012	734	761
DP03012	888	898
DP03013	1	60
DP03013	83	99
DP03015	31	58
DP03015	78	105
DP03016	622	638
DP03037	855	879
DP03042	255	293
DP03059	429	556
DP03059	645	726
DP03074	1	30
DP03074	451	505
DP03075	300	317
DP03081	74	85
DP03088	41	66
DP03098	107	127
DP03100	361	433
DP03104	94	104
DP03108	147	166
DP03109	149	253
DP03113	300	386
